City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,puerto real,36.5282,-6.1901,19.09,68,20,6.17,ES,1699026842
204,holualoa,19.6228,-155.9522,22.7,75,0,3.13,US,1699026842
205,peravurani,10.3,79.1833,26.73,81,99,2.59,IN,1699026843
206,cukai,4.25,103.4167,25.97,88,70,1.53,MY,1699026843
207,balabac,7.9868,117.0645,28.0,75,0,2.2,PH,1699026844
208,diamantina,-18.2494,-43.6003,24.28,69,100,3.06,BR,1699026844
209,codrington,-38.2667,141.9667,11.44,60,100,7.0,AU,1699026845
210,east london,-33.0153,27.9116,21.52,83,0,12.71,ZA,1699026846
211,papatowai,-46.5619,169.4708,9.68,89,90,2.59,NZ,1699026846
212,dunedin,-45.8742,170.5036,11.0,91,100,1.34,NZ,1699026847
213,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,1699026642
214,muynoq,43.7683,59.0214,13.2,40,76,4.0,UZ,1699026847
215,doka,13.5167,35.7667,29.13,47,99,2.11,SD,1699026848
216,haeju,38.0406,125.7147,13.53,58,100,1.86,KP,1699026849
217,hawera,-39.5917,174.2833,14.57,90,8,3.54,NZ,1699026672
218,taulaga,-11.0553,-171.0883,27.94,80,64,8.33,AS,1699026850
219,siwa oasis,29.2041,25.5195,27.31,23,0,1.96,EG,1699026851
220,rabaul,-4.1967,152.1721,26.5,83,94,5.24,PG,1699026852
221,metlili chaamba,32.2667,3.6333,27.52,26,62,8.23,DZ,1699026852
222,dakhla,23.6848,-15.958,21.83,77,0,9.69,EH,1699026853
223,yamada,39.4667,141.95,15.73,76,69,2.9,JP,1699026853
224,vizinga,61.0749,50.1031,-4.45,87,100,4.83,RU,1699026854
225,hithadhoo,-0.6,73.0833,27.35,81,34,5.91,MV,1699026854
226,zliten,32.4674,14.5687,30.68,26,0,3.68,LY,1699026856
227,longyearbyen,78.2186,15.6401,-8.09,86,75,4.12,SJ,1699026858
228,tazacorte,28.629,-17.9293,23.97,82,75,7.2,ES,1699026858
229,tolanaro,-25.0319,46.9987,20.42,69,90,3.84,MG,1699026859
230,thompson,55.7435,-97.8558,-6.91,68,75,4.12,CA,1699026860
231,akonolinga,3.7667,12.25,20.71,98,100,1.69,CM,1699026860
232,tobelo,1.7284,128.0095,26.85,81,100,1.93,ID,1699026861
233,cosne-cours-sur-loire,47.3333,3.1667,8.34,92,100,4.73,FR,1699026862
234,nabire,-3.3667,135.4833,24.43,95,100,1.51,ID,1699026862
235,lukolela,-1.0605,17.1821,23.56,95,96,1.3,CD,1699026863
236,cidreira,-30.1811,-50.2056,20.17,96,100,4.81,BR,1699026864
237,ribeira brava,32.65,-17.0667,23.34,74,2,0.85,PT,1699026865
238,nagqu,31.5,92.0,-2.17,55,100,5.55,CN,1699026865
239,turbo,8.0937,-76.7269,29.07,84,99,4.51,CO,1699026628
240,medias,46.1667,24.35,18.12,53,100,6.08,RO,1699026866
241,roma,43.2128,-75.4557,12.54,42,11,1.34,US,1699026867
242,bridgewater,44.3835,-64.5155,6.82,83,99,0.45,CA,1699026867
243,lompoc,34.6391,-120.4579,22.1,48,0,4.63,US,1699026756
244,murashi,59.3999,48.9615,-3.66,86,95,4.55,RU,1699026868
245,tughyl,47.7252,84.2063,-2.11,71,2,7.37,KZ,1699026869
246,qusmuryn,52.4503,64.6311,9.37,78,100,7.49,KZ,1699026869
247,callao,-12.0667,-77.15,24.84,73,100,3.6,PE,1699026870
248,dankalwa,11.7443,12.1867,35.54,15,69,5.9,NG,1699026870
249,smithers,54.7804,-127.1743,0.18,100,100,1.03,CA,1699026735
250,la'ie,21.6477,-157.9253,22.25,88,25,0.45,US,1699026758
251,punta arenas,-53.15,-70.9167,10.06,43,75,6.17,CL,1699026872
252,road town,18.4167,-64.6167,30.05,70,40,5.14,VG,1699026731
253,north battleford,52.7834,-108.2847,-0.33,80,100,4.12,CA,1699026872
254,dagda,56.0951,27.5372,7.69,77,97,6.61,LV,1699026873
255,perg,48.25,14.6333,8.47,94,100,5.31,AT,1699026874
256,haiku-pauwela,20.9219,-156.3051,24.47,77,0,2.57,US,1699026874
257,taoudenni,22.6783,-3.9836,37.25,6,0,3.74,ML,1699026875
258,aasiaat,68.7098,-52.8699,-9.61,93,100,2.54,GL,1699026875
259,rosario do sul,-30.2583,-54.9142,14.23,84,100,8.47,BR,1699026875
